group,hanzi,romanization,ipa,audio_url,variety,notes,part_of_speech,definition_en,gloss_zh,example,example_gloss
,二婿,ni53 lai21,,,,,,lazy,,,
,二五,ni53 ngu31,,,,,,a dirty trick; underhanded behaviour,,,
,二万,ni53 uang242,,,,,,cuckold,,,
,二撇須,ni21 weik21 su44,,,,,,a neatly trimmed moustache,,,
,二八天,ni21 weik21 tieng44,,,,,,the second and eighth lunar months,,,
,十,seik5,,,,,,certainly able to; well worth doing,,,
,十般全,seik21 baung44 juong53,,,,,,perfect; complete in every respect,,,
,十行纸,seik31 houng31 jai31,,,,,,ruled writing paper with ten columns,,,
,十番,seik5 huang44,,,,,,a traditional Fuzhou instrumental ensemble,,,
,十番保,seik21 huang44 jie44,,,,,,a Fuzhou folk instrumental ensemble,,,
,十二月天,seik21 ni21 nguok5 tieng44,,,,,,the weather of the twelfth lunar month; midwinter weather,,,
,十絶,seik5 zuok5,,,,,,extremely stingy,,,
,十絶哥,seik21 zuok5 go44,,,,,,a miser,,,
,七…八十二…,ceik23... bek21 leik21 nei242,,,,,,"a construction that repeats a verb between its two halves to describe aimless, repetitive activity",,,
,七…八十三…,ceik23… bek21 leik21 sang44…,,,,,,"a construction that repeats a verb between its two halves to describe aimless, repetitive activity",,,
,七步蛇,cik21 buo53 lie53,,,,,,"a venomous snake, named for the belief that its bite kills before the victim can take seven steps",,,
,七寸,cik5 caung213,,,,,,pig's trotters,,,
,七灶,cik5 cëü13,,,,,,everywhere; all over the place,,,
,七讲八十二昕,cik23 goung31 be21 leik21 ni53 liang213,,,,,,aimless chatter; gossip; talking nonsense,,,
,七讲八十三昕,cik23 goung31 bek21 leik21 sang53 niang213,,,,,,aimless chatter; gossip; talking nonsense,,,
,七讲八昕,cik21 goung21 meik5 tiang213,,,,,,aimless chatter; gossip; talking nonsense,,,
,七古八怪,cik21 gu21 weik5 guai213,,,,,,odd; peculiar,,,
,七朗八喝,cik21 hu21 weik5 hak23,,,,,,to talk nonsense; to babble,,,
,七成八敗九成人,cik21 siang53 be bai242 gau21 liang44 ing53,,,,,,"a saying about premature birth: a child born in the seventh month is expected to live, one born in the eighth is not, and one born in the ninth will grow up",,,
,卜,bauk23,,,,,,to hope for; to wish; to try one's luck,,,
,卜,buok23,,,,,,will; to intend to; to be on the point of,,,
,卜死,buok53 si31,,,,,,on the point of death,,,
,卜死路臭,buok21 si21 lu53 cau213,,,,,,barely alive; listless,,,
,人情,ing44 jing53,,,,,,gifts given out of social obligation,,,
,人情世事,ing21 jing21 sie53 lëü242,,,,,,the customs of social obligation; the giving and returning of courtesies,,,
,人家商,ing21 nga44 je44,,,,,,a traditional private school run in a household,,,
,人家厝,ing21 nga53 juo213,,,,,,"a private house, as opposed to an institutional building",,,
,入,nik5,,,,,,to stuff or pad something; to sink into mud,,,
,入味,nik21 ei242,,,,,,cooked long enough for the flavour to come through,,,
,八,baik23,,,,,,to know; to recognise; to understand,,,
,八板,beik23 being31,,,,,,to know how to behave properly,,,
