group,hanzi,romanization,ipa,audio_url,variety,notes,part_of_speech,definition_en,gloss_zh,example,example_gloss
,卜,buok23,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",adverb,will; to intend to; to be on the point of,,,
,卜,bauk23,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",verb,to hope for; to wish; to try one's luck,,,
,入,nik5,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",verb,to stuff or pad something; to sink into mud,,,
,入味,nik21 ei242,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",adjective,cooked long enough for the flavour to come through,,,
,八音,beik21 ing44,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",noun,the eight tones,,,
,八字,beik5 zei242,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",adjective,able to read and write,,,
,八曾,beik21 zeing53,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",adverb,once; formerly (marks a completed past action),,,
,人情,ing44 jing53,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",noun,gifts given out of social obligation,,,
,刀喙,do53 cui213,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",noun,the edge of a blade,,,
,刀囝,do53 iang31,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",noun,a small knife,,,
,刀石,do44 juok5,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",noun,a whetstone,,,
,刀枕,do53 zing31,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",noun,the blunt back of a blade,,,
,刁,diu44,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",verb,to joke and carry on noisily,,,
,刁皮,diu44 pi53,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",adjective,naughty; mischievous,,,
,力草,lik31 cau31,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",noun,bodily strength,,,
,力落,lik5 lok5,,,,"Pronunciation written with tone numbers, as in the printed source. Most of the dictionary uses Bàng-uâ-cê; this one has not been converted yet.",adjective,hardworking; willing,,,
