hanzi,bang_ua_ce,yngping,status,meaning
自我,cê̤ṳ-ngō,,not converted,self; oneself
多謝,dŏ-siâ,,not converted,thank you; thank you very much
寡婦,guā-hō,,not converted,widow
胳腋下,gó̤k,,not converted,armpit; underarm
伓便,n̂g-biêng,,not converted,"inconvenient, inexpedient"
伓好,n̂g-hō̤,,not converted,not good; unlucky
伓啻,n̂g-sié,,not converted,"not only, more than"
伓是,n̂g-sê,,not converted,is not
伓使,n̂g-sāi,,not converted,"need not, there is no need to"
伓通,n̂g-tĕ̤ng,,not converted,don't (do something); do not; must not
孵卵,bû-lông,bu7 lung7,check: unusual spelling,to incubate; to hatch
樹箬,chiú-niŏh,ciu3 nioh8,check: unusual spelling,tree leaf
蛀牙,ciú-ngāi,ziu3 ngai2,check: unusual spelling,dental caries; tooth decay
箸籠,dê̤ṳ-lê̤ng,dy7 loeng7,check: unusual spelling,chopstick holder
地址,dî-cī,di7 zi2,check: unusual spelling,address such as a home or business address; location
地理先生,dî-lī-sĭng-năng,di7 li2 sing1 nang1,check: unusual spelling,fengshui master; geomancer
記賬,gí-duóng,gi3 duong3,check: unusual spelling,to keep accounts; to record transactions; to do bookkeeping
記數,gí-só,gi3 su3,check: unusual spelling,to record a transaction; to keep the books
鋸糠,gṳ́-gŏng,gy3 gong1,check: unusual spelling,sawdust
汽燈,kí-dĕng,ki3 deng1,check: unusual spelling,gas lamp
氣力,kí-lĭh,ki3 lih8,check: unusual spelling,strength; power; energy
利便,lî-biêng,li7 bieng7,check: unusual spelling,convenient
四角,sí-gáe̤k,si3 goek4,check: unusual spelling,four angles; four corners
四角桌,sí-gáe̤k-dó̤h,si3 goek4 doh4,check: unusual spelling,square table
四角框,sí-gáe̤k-kuŏng,si3 goek4 kuong1,check: unusual spelling,囗
四勢,sí-sié,si3 sie3,check: unusual spelling,"everywhere, in all directions"
數單,sú-dăng,su3 dang1,check: unusual spelling,bill; check; invoice
西照,să̤-ciú,se1 ziu3,check: unusual spelling,(of a room) to have a western exposure to the sun and be hot in summer
趁食,tíng-siăh,ting3 siah8,check: unusual spelling,to earn a living
兔囝,tú-giāng,tu3 giang2,check: unusual spelling,little rabbit; bunny
兔公,tú-gē̤ng,tu3 goeng2,check: unusual spelling,male rabbit
兔母,tú-mō̤,tu3 mo2,check: unusual spelling,female rabbit
皇曆,uòng-lík,uong5 lik4,check: unusual spelling,almanac; ephemeris
應喙,íng-chói,ing3 cui3,check: unusual spelling,to answer back to one's parents or superiors; to talk back
武器,ū-kí,u2 ki3,check: unusual spelling,weapon; arms
諸葛亮,Cṳ̆-gák-liông,zy1 gak4 liong7,converted,(figurative) mastermind; strategist
潮州話,Dièu-ciŭ-uâ,dieu5 ziu1 ua7,converted,"Teochew, a variety of Southern Min Chinese native to Chaoshan, a region of Guangdong province"
長樂,Diòng-lŏ̤h,diong5 loh8,converted,long-lasting happiness
長城,Diòng-siàng,diong5 siang5,converted,(figurative) insurmountable barrier or invincible power; wall of steel
臺灣人,Dài-uăng-nè̤ng,dai5 uang1 noeng5,converted,person from Taiwan; Taiwanese people
德語,Dáik-ngṳ̄,dek4 ngy2,converted,German language
東京,Dĕ̤ng-gĭng,doeng1 ging1,converted,"(historical) an eastern capital a capital located east of another capital, especially under a multiple-capital system"
中國人,Dṳ̆ng-guók-nè̤ng,dyng1 guok4 noeng5,converted,Chinese person; Chinese people; the Chinese
中國儂,Dṳ̆ng-guók-nè̤ng,dyng1 guok4 noeng5,converted,alternative form of 中國人
中文,Dṳ̆ng-ùng,dyng1 ung5,converted,Chinese language
贛語,Gáng-ngṳ̄,gang3 ngy2,converted,"the Gan language/dialect, a group of Chinese varieties spoken as the native language by many people in the Jiangxi province of China"
舊約,Gô-iók,gu7 iok4,converted,old agreement; former alliance
金星,Gĭng-sĭng,ging1 sing1,converted,golden star
鼓樓,Gū-làu,gu2 lau5,converted,(architecture) drum tower
華人,Huà-ìng,hua5 ing5,converted,person of Chinese origin or ethnicity.
火星,Huŏ-sĭng,huo1 sing1,converted,"(neologism, Internet slang) to be outdated and unaware; to not know something that everyone else knows"
漢藏,Háng-Câung,hang3 zong7,converted,(attributive) Sino-Tibetan
