group,hanzi,romanization,ipa,audio_url,variety,notes,part_of_speech,definition_en,gloss_zh,example,example_gloss
,平話,Bàng-uâ,,,,,noun,vernacular speech; everyday language,白话,,
,福州話,Hók-ciŭ-uâ,,,,,noun,the Fuzhou language,福州话,,
,再見,cái-giéng,,,,,phrase,goodbye,再见,,
,請,chiāng,,,,,verb,please; to invite,请,,
,對不住,dó̤i-bók-cê̤ṳ,,,,,phrase,sorry; excuse me,对不起,,
,六,lĕ̤k,,,,,numeral,six,六,,
,七,chék,,,,,numeral,seven,七,,
,八,báik,,,,,numeral,eight,八,,
,九,gāu,,,,,numeral,nine,九,,
,十,sĕk,,,,,numeral,ten,十,,
,百,báh,,,,,numeral,hundred,百,,
,千,chiĕng,,,,,numeral,thousand,千,,
,萬,uâng,,,,,numeral,ten thousand,万,,
,我各,nguāi-gáuk,,,,,pronoun,we; us,我们,,
,汝各,nṳ̄-gáuk,,,,,pronoun,you (plural),你们,,
,伊各,ĭ-gáuk,,,,,pronoun,they; them,他们,,
,郎罷,nòng-mâ,,,,,noun,father,父亲,,
,依媽,ĭ-mā,,,,,noun,mother,母亲,,
,依公,ĭ-gŭng,,,,,noun,grandfather,爷爷,,
,兄,hiăng,,,,,noun,older brother,哥哥,,
,弟,diê,,,,,noun,younger brother,弟弟,,
,天,tiĕng,,,,,noun,sky; heaven,天,,
,地,dê,,,,,noun,ground; earth,地,,
,月光,nguŏk-guŏng,,,,,noun,the moon,月亮,,
,星,sĕng,,,,,noun,star,星,,
,火,huōi,,,,,noun,fire,火,,
,山,săng,,,,homophone with 'three',noun,mountain,山,,
,海,hāi,,,,,noun,sea,海,,
,雨,ṳ̄,,,,,noun,rain,雨,,
,風,hŭng,,,,,noun,wind,风,,
,樹,chéu,,,,,noun,tree,树,,
,花,huă,,,,,noun,flower,花,,
,今旦,gĭng-dáng,,,,,noun,today,今天,,
,明旦,mìng-dáng,,,,,noun,tomorrow,明天,,
,暝,màng,,,,,noun,night,夜晚,,
,年,niòng,,,,,noun,year,年,,
,月,nguŏk,,,,,noun,month,月,,
,時,sì,,,,,noun,time; hour,时间,,
,酒,ciū,,,,,noun,wine; liquor,酒,,
,肉,nṳ̆k,,,,,noun,meat,肉,,
,魚,ngṳ̀,,,,,noun,fish,鱼,,
,菜,chái,,,,,noun,vegetable; dish,菜,,
,鹽,sièng,,,,,noun,salt,盐,,
,糖,tòng,,,,,noun,sugar,糖,,
,米,mī,,,,,noun,uncooked rice,米,,
,卵,nâung,,,,,noun,egg,蛋,,
,頭,tàu,,,,,noun,head,头,,
,目睭,mĕk-ciŭ,,,,,noun,eye,眼睛,,
,嘴,chói,,,,,noun,mouth,嘴,,
,手,chiū,,,,,noun,hand,手,,
,骹,kă,,,,,noun,foot; leg,脚,,
,鼻,pĭ,,,,,noun,nose,鼻子,,
,心,sĭng,,,,,noun,heart,心,,
,看,káng,,,,,verb,to look; to see,看,,
,聽,tiăng,,,,,verb,to listen; to hear,听,,
,做,có̤,,,,,verb,to do; to make,做,,
,買,mă̤,,,,,verb,to buy,买,,
,賣,mâ,,,,,verb,to sell,卖,,
,行,giàng,,,,,verb,to walk,走,,
,走,cāu,,,,,verb,to run,跑,,
,徛,kiê,,,,,verb,to stand,站,,
,睏,káung,,,,,verb,to sleep,睡,,
,洗,sā̤,,,,,verb,to wash,洗,,
,寫,siā,,,,,verb,to write,写,,
,讀,tĕ̤k,,,,,verb,to read; to study,读,,
,知,di,,,,,verb,to know,知道,,
,愛,ái,,,,,verb,to love; to want,爱,,
,養,iōng,,,,,verb,to give birth; to raise,养,,
,是,sê,,,,,verb,to be; yes,是,,
,有,ô,,,,,verb,to have; there is,有,,
,無,mò̤,,,,,verb,to not have; there is not,没有,,
,長,dòng,,,,,adjective,long,长,,
,短,dōi,,,,,adjective,short,短,,
,懸,gèng,,,,,adjective,tall; high,高,,
,低,dăi,,,,,adjective,low,低,,
,新,sĭng,,,,,adjective,new,新,,
,舊,gô,,,,,adjective,old (of things),旧,,
,熱,iĕk,,,,,adjective,hot,热,,
,冷,lēng,,,,,adjective,cold,冷,,
,紅,èng,,,,,adjective,red,红,,
,烏,ŭ,,,,,adjective,black,黑,,
,白,băh,,,,,adjective,white,白,,
,青,chăng,,,,,adjective,green; blue,青,,
,黃,uòng,,,,,adjective,yellow,黄,,
,路,dô,,,,,noun,road,路,,
,車,chiă,,,,,noun,car; vehicle,车,,
,店,dáing,,,,,noun,shop,店,,
,書,cṳ̆,,,,,noun,book,书,,
,錢,chièng,,,,,noun,money,钱,,
,狗,gāu,,,,homophone with 'nine',noun,dog,狗,,
,猫,mà,,,,,noun,cat,猫,,
,鳥,cēu,,,,,noun,bird,鸟,,
,乇,nó̤h,,,,,noun,thing,东西,,
